Date,Open,High,Low,Close,Volume,Adj Close
2014-10-28,87.07,88.01,86.96,88.01,3598400,87.4595
2014-10-27,86.01,86.75,85.76,86.63,3610100,86.08813
2014-10-24,85.69,86.43,85.59,86.40,3608000,85.85957
2014-10-23,85.13,85.85,84.87,85.61,5000300,85.07452
2014-10-22,85.62,85.87,83.93,83.96,5182200,83.43483
2014-10-21,84.70,85.66,84.44,85.64,4847100,85.10432
2014-10-20,82.79,84.10,82.63,84.01,5231100,83.48452
2014-10-17,80.91,84.52,80.90,82.58,9175000,82.06347
2014-10-16,80.29,81.47,78.81,80.24,9159300,79.7381
2014-10-15,81.30,81.79,78.41,80.93,9155600,80.42378
2014-10-14,83.27,83.39,82.51,82.74,6165000,82.22246
2014-10-13,84.76,85.25,82.61,82.78,5072300,82.26221
2014-10-10,85.78,86.70,84.99,84.99,4226400,84.45839
2014-10-09,87.33,87.98,85.82,85.89,5394400,85.35276
2014-10-08,85.41,87.47,85.00,87.41,4238200,86.86326
2014-10-07,86.45,86.45,85.33,85.35,3905000,84.81614
2014-10-06,87.68,87.97,86.76,87.03,3147300,86.48563
2014-10-03,86.66,87.31,86.22,87.16,4601400,86.61482
2014-10-02,86.39,86.50,85.06,85.87,4216800,85.33289
2014-10-01,86.90,87.31,85.51,85.81,4777800,85.27326
2014-09-30,88.20,88.32,87.35,87.54,3867100,86.73407
2014-09-29,87.63,88.03,87.14,87.95,3304100,87.14029
2014-09-26,87.16,88.67,86.95,88.37,4480300,87.55643
2014-09-25,88.51,88.82,86.76,86.76,5648000,85.96125
2014-09-24,88.47,88.65,87.87,88.52,5089900,87.70504
2014-09-23,88.55,89.26,88.23,88.31,3711000,87.49697
2014-09-22,89.58,90.09,88.90,88.99,3134700,88.17072
2014-09-19,90.68,90.68,89.42,89.70,7118600,88.87418
2014-09-18,89.33,90.59,89.31,90.10,4309800,89.27049
2014-09-17,88.61,89.56,88.33,89.07,4460700,88.24998
2014-09-16,87.16,88.70,86.88,88.36,5946200,87.54652
2014-09-15,88.35,88.35,87.11,87.38,3983800,86.57554
2014-09-12,88.18,88.30,87.44,87.64,4739100,86.83315
2014-09-11,88.01,88.60,87.88,88.42,2757000,87.60596
2014-09-10,88.10,88.66,88.01,88.41,3471000,87.59606
2014-09-09,88.85,88.90,87.75,87.90,4014300,87.09075
2014-09-08,89.40,89.83,88.62,88.93,3617600,88.11127
2014-09-05,89.64,89.74,89.02,89.61,2571200,88.78501
2014-09-04,90.11,90.46,89.42,89.65,2594100,88.82464
2014-09-03,90.13,90.49,90.00,90.14,2930800,89.31013
2014-09-02,89.90,90.13,89.28,89.72,3592100,88.894
2014-08-29,89.37,89.70,89.09,89.55,2672700,88.72556
2014-08-28,88.84,89.33,88.61,89.02,3324900,88.20044
2014-08-27,89.25,89.59,88.99,89.24,2632300,88.41841
2014-08-26,89.61,89.93,89.08,89.15,2934600,88.32925
2014-08-25,89.56,90.22,89.32,89.59,3730000,88.76519
2014-08-22,88.89,89.51,88.83,88.88,2796200,88.06173
2014-08-21,88.64,89.33,88.59,89.14,3019300,88.31934
2014-08-20,88.01,88.65,87.90,88.49,3142900,87.67532
2014-08-19,87.58,88.28,87.45,88.12,3523700,87.30873
2014-08-18,87.29,87.48,86.98,87.16,2662100,86.35757
2014-08-15,87.78,87.88,86.23,86.60,3290800,85.80272
2014-08-14,87.50,87.80,87.10,87.27,3498800,86.46655
2014-08-13,87.44,88.07,87.16,87.40,2590600,86.59535
2014-08-12,87.00,87.09,86.70,87.08,3106600,86.27831
2014-08-11,87.92,88.16,86.94,86.95,3594400,86.14949
2014-08-08,86.09,87.51,85.91,87.47,4206700,86.66471
2014-08-07,86.79,87.14,85.89,86.02,4539100,85.22806
2014-08-06,86.04,86.79,86.00,86.40,4805600,85.60456
2014-08-05,86.65,87.02,85.89,86.36,5004400,85.56493
2014-08-04,86.60,87.24,86.45,86.93,5743800,86.12968
2014-08-01,87.41,87.74,85.75,86.47,12258300,85.67392
2014-07-31,90.07,90.26,87.99,88.00,7561100,87.18983
2014-07-30,92.11,92.32,90.04,90.91,5069300,90.07304
2014-07-29,91.83,92.23,91.51,91.71,4773300,90.86568
2014-07-28,91.90,92.03,90.90,91.86,4274000,91.0143
2014-07-25,92.74,93.07,91.58,91.93,3903500,91.08365
2014-07-24,93.33,93.62,92.85,93.15,3023400,92.29242
2014-07-23,93.19,93.59,92.82,93.28,1984800,92.42122
2014-07-22,93.51,94.06,93.22,93.37,2411600,92.51039
2014-07-21,93.29,93.40,92.38,92.88,2321800,92.0249
